word,count
nao,3088
sobre,2725
segundo,2665
nesta,1924
tambem,1884
afirmou,1567
dia,1504
sao,1399
ano,1318
publico,1316
ainda,1264
governo,1247
porque,1221
anos,1152
desta,1096
primeira,1092
entao,1082
apos,1070
defesa,1056
politica,1035
ate,1011
luiz,1000
regiao,968
afirma,956
lava,933
antes,928
paulo,907
camara,881
ser,845
jato,835
casa,819
policia,816
decisao,771
temer,769
sul,760
conta,746
tribunal,729
estados,729
forma,703
menos,690
recursos,690
novo,671
meio,660
contra,611
norte,603
mulher,594
tempo,593
trabalho,578
cada,565
pessoas,564
dois,561
sempre,556
havia,535
nota,515
tres,500
deve,482
supremo,458
pedido,434
federal,432
campanha,428
pmdb,420
projeto,419
investigacao,419
senado,416
rio,401
ministerio,386
cidade,386
mil,381
vai,374
processo,345
partido,342
empresa,335
trump,312
onde,311
relacao,310
saude,302
todos,290
ha,275
outras,255
pt,251
acao,248
crime,243
presidente,238
crimes,238
fim,231
silva,223
lula,216
publica,211
corrupcao,199
diz,193
outro,189
feito,185
grupo,184
nunca,176
aqui,173
jose,172
caso,172
estado,171
empresas,170
odebrecht,167
ja,166
aecio,164
outra,161
seguranca,158
direito,154
militar,153
ter,146
vez,145
alem,142
assim,139
vida,134
nacional,131
coreia,126
nova,120
bem,117
momento,115
faz,112
pf,111
maior,104
juiz,104
gente,102
agora,100
so,89
outros,89
milhoes,85
desde,77
dentro,75
cerca,74
duas,62
nome,59
valor,59
meses,56
stf,52
fazer,51
voce,50
semana,49
operacao,46
acordo,42
todas,40
advogado,33
primeiro,31
propina,30
eduardo,29
qualquer,26
sistema,25
deputado,25
grande,24
denuncia,23
eua,23
tudo,18
dias,17
preso,17
ministro,16
hoje,16
abaixo,14
fato,14
estao,13
politicos,12
senador,11
video,11
dilma,11
nada,11
dinheiro,11
rede,10
moro,10
parte,10
filho,10
pode,10
brasil,10
assista,9
sociais,9
redes,9
janeiro,9
michel,9
jornalista,8
povo,8
pra,8
noite,8
informou,8
apresentador,7
deputados,7
r,7
justica,7
confira,7
lei,7
delacao,7
chamado,6
brasilia,6
mandato,6
local,6
impeachment,6
rousseff,6
tentou,6
brasileiros,6
fazendo,6
brasileira,6
dizer,6
globo,6
brasileiro,6
renan,6
atencao,6
ontem,6
republica,6
prisao,6
sergio,6
favor,5
parlamentar,5
cidadao,5
informacao,5
vamos,5
quer,5
poder,5
canal,5
hora,5
informacoes,5
pessoais,5
atraves,5
tao,5
contas,5
ultimo,5
hospital,5
pouco,5
igreja,5
dar,5
veja,5
roberto,5
postou,5
ajuda,5
tv,5
disse,5
conversa,5
cunha,5
ultima,5
historia,5
situacao,5
pais,5
alguns,5
durante,5
ai,4
internautas,4
virou,4
imagens,4
jovem,4
divulgou,4
site,4
luta,4
mostra,4
minuto,4
ambos,4
forca,4
passa,4
cargo,4
toda,4
resposta,4
cara,4
inteligencia,4
fala,4
ataque,4
conselho,4
atriz,4
estadao,4
tentando,4
homem,4
varias,4
tipo,4
porem,4
senhor,4
proximo,4
lugar,4
caiu,4
narrou,4
tomou,4
news,4
carro,4
entrevista,4
perto,4
agencia,4
mundo,4
manha,4
possivel,4
pessoa,4
boca,4
precisa,4
sabe,4
midia,4
palavras,4
algumas,4
desses,4
conseguiu,4
recebeu,4
band,4
falou,4
coisa,4
vila,4
fundo,4
dez,4
familia,4
petrobras,4
libanes,3
partir,3
cantor,3
manifestantes,3
patrimonio,3
voto,3
programa,3
planalto,3
motivo,3
candidatura,3
pediu,3
pede,3
diario,3
poderia,3
oficial,3
falar,3
deus,3
emissora,3
morreram,3
interno,3
marcelo,3
discursos,3
mendes,3
gravacao,3
algo,3
sofreu,3
quase,3
clima,3
expor,3
deu,3
fica,3
rj,3
ninguem,3
pai,3
onu,3
wyllys,3
chamou,3
tarde,3
comecou,3
imprensa,3
atras,3
amaral,3
terroristas,3
leo,3
passar,3
tiros,3
pessoal,3
esposa,3
centro,3
continuou,3
respeito,3
madrugada,3
desabafou,3
alguem,3
claro,3
acidente,3
horas,3
reporter,3
ladrao,3
internauta,3
mes,3
dizia,3
luis,3
senhora,3
informa,3
logo,3
voo,3
dono,3
pagar,3
global,3
perder,3
vivo,3
epoca,3
fez,3
papel,3
senadores,3
detalhe,3
podem,3
ficaram,3
foto,3
chega,3
sair,3
relatou,3
facebook,3
revista,3
vou,3
sozinho,3
mae,3
problema,3
curitiba,3
aconteceu,3
enquanto,3
tanto,3
participacao,3
exercito,3
segundos,3
escreveu,3
noticia,3
domingo,3
show,3
reuniao,3
feliz,3
questao,3
ronaldo,3
caiado,3
texto,3
tema,3
ato,3
maiores,3
doenca,3
predio,3
gosta,3
materia,3
presidencia,3
viagem,3
aerea,3
objetos,3
recado,3
general,3
ciro,3
criminosa,3
manifestacoes,3
autor,3
lado,3
suspeitas,3
atividades,3
declaracao,3
explica,3
decorrencia,3
politico,3
sendo,3
sera,3
operado,2
perguntou,2
roubar,2
aparentemente,2
conversar,2
exibida,2
necessidade,2
paciente,2
acima,2
loures,2
carta,2
palacio,2
dado,2
vezes,2
especie,2
encontro,2
chama,2
recebendo,2
lu,2
alves,2
maia,2
escoltado,2
nomes,2
condenados,2
horario,2
diversos,2
medicos,2
chefe,2
discurso,2
incendio,2
congresso,2
via,2
medidas,2
novamente,2
voltou,2
podera,2
principal,2
foro,2
pastor,2
votem,2
cerimonia,2
kkk,2
verbo,2
joesley,2
investigar,2
bate,2
sete,2
mortadela,2
conhece,2
direto,2
nucleares,2
balistico,2
audiencia,2
presenca,2
populacao,2
avisa,2
lanca,2
acontecer,2
financeiras,2
busca,2
acalmar,2
invadir,2
russia,2
pacifico,2
celular,2
pinheiro,2
us,2
costa,2
alckmin,2
mentiroso,2
processar,2
leia,2
china,2
tanques,2
diferente,2
confirmou,2
varios,2
psol,2
apartamento,2
ir,2
votacao,2
calada,2
livrar,2
procurar,2
saber,2
alvo,2
atual,2
vira,2
coisas,2
pneus,2
cobra,2
internacionais,2
compra,2
liberdade,2
elogia,2
humanidade,2
romero,2
debocha,2
la,2
sociedade,2
dizem,2
postado,2
alertou,2
folha,2
california,2
pergunta,2
integrantes,2
fiel,2
lista,2
quadro,2
transferido,2
x,2
cerebral,2
faleceu,2
terra,2
autorizou,2
motim,2
assunto,2
soltou,2
cameras,2
propriedade,2
respondeu,2
repare,2
aviao,2
confirmacao,2
sofrendo,2
zavascki,2
entrar,2
sp,2
resgatados,2
procurador,2
apareceu,2
tera,2
presente,2
joao,2
aparece,2
rebeliao,2
vara,2
janot,2
acontece,2
momentos,2
saem,2
clube,2
pontifice,2
destacou,2
dizendo,2
presos,2
guarda,2
doria,2
poderes,2
comeca,2
ficaria,2
responde,2
calheiros,2
julga,2
ordenou,2
quatro,2
participa,2
equipe,2
editora,2
narrador,2
tabloide,2
diretamente,2
conhecimento,2
demissao,2
garota,2
barrar,2
indo,2
mensagem,2
continua,2
usando,2
todo,2
gravacoes,2
deveria,2
recente,2
correndo,2
arma,2
eleicoes,2
the,2
passando,2
campo,2
dolares,2
recebido,2
forbes,2
londres,2
deste,2
agradecer,2
vitima,2
espera,2
autorizacao,2
elogios,2
brincadeira,2
tire,2
pe,2
possui,2
trabalhar,2
preste,2
compara,2
revolta,2
rosto,2
parar,2
preparar,2
civis,2
medico,2
decidiu,2
sofrer,2
senadora,2
serem,2
questoes,2
restaurante,2
opiniao,2
servidores,2
seis,2
angelina,2
acha,2
condenado,2
locais,2
domingos,2
liberou,2
final,2
encerrou,2
grandes,2
sbt,2
sindicato,2
abatido,2
comove,2
publicacao,2
faria,2
golpe,2
cut,2
bons,2
renuncia,2
cancer,2
lider,2
jogou,2
entender,2
amanha,2
tal,2
tenta,2
contou,2
jornal,2
enfiar,2
recusar,2
inventou,2
educada,2
empreiteiros,2
logistica,2
camera,2
atitude,2
mora,2
trata,2
financeira,2
antagonista,2
chegou,2
deixou,2
sandra,2
curto,2
invadem,2
medo,2
preciso,2
petistas,2
japao,2
relataram,2
secretaria,2
urgente,2
ultimos,2
simples,2
bispo,2
acabou,2
exige,2
afastado,2
zika,2
janaina,2
avisar,2
desse,2
feita,2
coracao,2
organizacao,2
acusado,2
denunciar,2
magno,2
voces,2
agem,2
esquema,2
decencia,2
simbolo,2
vagabundo,2
estar,2
diogo,2
ia,2
ocorreu,2
internet,2
ganhou,2
minutos,2
sob,2
proprio,2
horizonte,2
coletiva,2
razao,2
twitter,2
previsoes,2
policial,2
parana,2
bolsonaro,2
junto,2
vota,2
aumento,2
imediata,2
partiram,2
vitoria,2
transportado,2
diante,2
pan,2
acabar,2
considerou,2
tiro,2
flagrada,2
extra,2
saida,2
virus,2
neste,2
desenvolvimento,2
gravou,2
ferias,2
recife,2
banheiro,2
votacoes,2
ouca,2
inicio,2
ponto,2
mainardi,2
sai,2
aguenta,2
propria,2
guerra,2
conflito,2
citou,2
dever,2
mal,2
declarou,2
prometeu,2
padre,2
bateu,2
algum,2
americana,2
pensam,2
incrivel,2
seguidores,2
filha,2
frente,2
casal,2
santa,2
melhor,2
famosos,2
nu,2
territorio,2
volta,2
furacao,2
fara,2
destino,2
cantora,2
paroquia,2
arterias,1
substituindo,1
waack,1
importante,1
avila,1
d,1
recebe,1
bicho,1
fiscal,1
envolvida,1
publicos,1
chamada,1
sorriso,1
delegacia,1
suicidaram,1
esconde,1
mentir,1
gay,1
roqueiro,1
honesto,1
deixam,1
organizadas,1
distribuir,1
meia,1
questionou,1
trocadas,1
gentili,1
tras,1
governos,1
precisou,1
impressionante,1
amaldicoo,1
pregacao,1
edir,1
telefones,1
conselheiro,1
afirmam,1
chamando,1
bruno,1
prata,1
nunes,1
lata,1
reencarnarei,1
seguiu,1
aparentava,1
mecanicamente,1
reforco,1
coisinha,1
brad,1
pernambuco,1
preferiu,1
mt,1
wilson,1
curioso,1
defendeu,1
funaro,1
bobagem,1
atropelamento,1
deixando,1
atropela,1
mensagens,1
neves,1
protagonista,1
reacao,1
ignorar,1
despudor,1
eleitor,1
morto,1
prestigio,1
votaram,1
votou,1
mala,1
papuda,1
cabelos,1
onipotente,1
dispara,1
disparou,1
rodrigo,1
telefone,1
hungria,1
europa,1
cortina,1
numero,1
atacadas,1
chamar,1
criminais,1
saudado,1
forum,1
apreendidas,1
agredindo,1
entoam,1
aposentadoria,1
tentaram,1
calma,1
passarinho,1
finge,1
ricardo,1
bancada,1
ferraco,1
inafiancavel,1
propinas,1
passaremos,1
surpreendeu,1
parabenizaram,1
friboi,1
subir,1
conteve,1
gangster,1
chapeu,1
fernandinho,1
batista,1
abra,1
determinou,1
inquerito,1
homologa,1
ressaltar,1
sites,1
afastar,1
pedras,1
digamos,1
sobrevoava,1
sacou,1
culpa,1
azeitona,1
adiar,1
mentiras,1
piaui,1
surgem,1
corpus,1
exposto,1
preventivo,1
plano,1
afirmado,1
sistemas,1
instalados,1
leste,1
monitorada,1
pretende,1
cristiano,1
lancamento,1
resende,1
intermediar,1
havera,1
i,1
disparam,1
tranquilamente,1
demonstrando,1
terremoto,1
conhecido,1
nadar,1
continuarem,1
joga,1
fantasma,1
kim,1
okamoto,1
algua,1
filipinas,1
coreana,1
iniciado,1
avistados,1
provocacoes,1
culpou,1
ensinam,1
colonizacao,1
diego,1
invadiram,1
conseguiram,1
delator,1
alcunha,1
picole,1
agrado,1
salsicha,1
espionagem,1
dmitry,1
avancados,1
filmes,1
imperialistas,1
estatal,1
formacao,1
montanhas,1
acontecerem,1
ameaca,1
renato,1
trabalham,1
instruindo,1
pontos,1
funcionaria,1
clama,1
perdeu,1
russo,1
embaixador,1
estara,1
etica,1
veras,1
bairro,1
mandioca,1
atualmente,1
ameacado,1
chutada,1
representam,1
retrucado,1
farpas,1
desequilibrios,1
homenagem,1
superior,1
curiosamente,1
passava,1
originario,1
parcos,1
perplexo,1
consome,1
produto,1
chamava,1
mera,1
vergonhoso,1
acontecido,1
verdade,1
boa,1
aliviar,1
poltergeist,1
nervoso,1
peixe,1
denuncias,1
bravos,1
alencar,1
votada,1
decadas,1
patricia,1
empurraozinho,1
comendo,1
juizo,1
nuclear,1
obscenos,1
animados,1
lavagem,1
vaccari,1
dirceu,1
santos,1
empresaria,1
invadindo,1
vitor,1
citado,1
celebre,1
judiciario,1
doou,1
pl,1
viatura,1
fortemente,1
inovou,1
convite,1
ficariam,1
dalton,1
contrato,1
barra,1
expulsa,1
presidiario,1
faco,1
impensavel,1
embalo,1
garantir,1
reunindo,1
trabalha,1
guadalupe,1
coveira,1
proxima,1
operacoes,1
orientacao,1
pm,1
vereadora,1
divulgado,1
espirito,1
cachoeiro,1
furto,1
aulas,1
nbcde,1
plateia,1
columbia,1
universidade,1
prefeito,1
capiciosas,1
sabatina,1
quadruplicou,1
metanfetamina,1
drogas,1
velada,1
riqueza,1
cheguei,1
sucesso,1
namoro,1
manequins,1
zona,1
fluxo,1
meirelles,1
henrique,1
franco,1
van,1
eliseu,1
imagine,1
internada,1
pupilas,1
dama,1
adriana,1
cerebro,1
psdb,1
caciques,1
xilindro,1
bangu,1
informaram,1
encontra,1
susto,1
jorginho,1
espetaculos,1
figura,1
negocios,1
tonico,1
forcado,1
nevada,1
detidos,1
grato,1
tomar,1
abandonaram,1
ministra,1
maracana,1
copa,1
curso,1
eike,1
empresario,1
desculpem,1
submetida,1
preocupado,1
turistas,1
retomada,1
manifestar,1
fas,1
enfermeiro,1
viu,1
solo,1
mpf,1
transtornos,1
ficou,1
estariam,1
confrontada,1
presenciado,1
osmar,1
antigos,1
oito,1
seguro,1
confiavel,1
imagem,1
identifiquei,1
aeronave,1
pedir,1
carmen,1
criminosos,1
assessoria,1
vitimou,1
constava,1
relator,1
modelo,1
catarina,1
bombeiros,1
pertencente,1
emiliano,1
postada,1
novos,1
casada,1
longe,1
filmaram,1
litoral,1
valdemiro,1
royal,1
evidente,1
neuronios,1
quarteiroes,1
destruida,1
iemanja,1
marketing,1
milagres,1
peritos,1
paralisacoes,1
cantar,1
afora,1
performance,1
ucraniano,1
assistir,1
responsabilidade,1
penitenciaria,1
parente,1
conter,1
mandataria,1
ameacou,1
adversarios,1
eletronica,1
balada,1
escolas,1
quimica,1
podemos,1
governantes,1
colisao,1
agentes,1
junior,1
negao,1
deixe,1
questionavel,1
manaus,1
indenizacoes,1
resumindo,1
porta,1
resultado,1
pombinhos,1
obreiros,1
gloria,1
aceito,1
ensanguentada,1
golpes,1
grota,1
referindo,1
usado,1
jargao,1
clio,1
tamanho,1
dominam,1
ma,1
hong,1
italia,1
dara,1
estadual,1
mg,1
buscar,1
tapa,1
machione,1
sugerir,1
einstein,1
triste,1
papa,1
inacio,1
diga,1
tente,1
chargistas,1
mauricio,1
parcialidade,1
criativos,1
grava,1
enviar,1
vesperas,1
feitas,1
traduzindo,1
disfarcada,1
farra,1
cmo,1
conserino,1
serao,1
janete,1
uniforme,1
min,1
feio,1
aguiar,1
encontrar,1
dirigindo,1
perdido,1
estendeu,1
formalizaram,1
audio,1
toque,1
pec,1
caixa,1
pressa,1
turno,1
teto,1
sumir,1
envolvidos,1
divulgada,1
certas,1
impossivel,1
textos,1
bla,1
anibal,1
catracada,1
tumultuar,1
respeite,1
beneficiarios,1
valeu,1
somente,1
arremessa,1
crueldade,1
descumprir,1
petecao,1
suprema,1
corte,1
julgara,1
sessao,1
afastamento,1
trabalhando,1
ignorou,1
noivas,1
ator,1
aplaude,1
apresentacao,1
vagabundos,1
transparencia,1
certeiro,1
autoridade,1
abuso,1
ofereceram,1
jogadores,1
gratuitamente,1
relatos,1
estrelas,1
ridicula,1
organizacoes,1
unem,1
direita,1
confrontavam,1
gisele,1
coquetel,1
sancionar,1
carlos,1
urgencia,1
salva,1
votar,1
braziliense,1
morte,1
manifestacao,1
tiempos,1
protocolos,1
recomenda,1
roses,1
futebol,1
armados,1
movendo,1
sido,1
mobiliza,1
certeza,1
movimentos,1
medio,1
confronto,1
depp,1
enquirer,1
pitt,1
jolie,1
cubanos,1
morreu,1
objetiva,1
univerdidade,1
paradeiro,1
conterraneos,1
torco,1
pudessem,1
arredores,1
dor,1
regime,1
emenda,1
havana,1
raul,1
passageiro,1
priorizacao,1
obra,1
normalidade,1
informar,1
avaliado,1
alto,1
sequer,1
apresentou,1
risos,1
comparar,1
levantou,1
negocio,1
fogo,1
incendiaram,1
gesto,1
soco,1
anda,1
fama,1
fa,1
inteligente,1
maravilhoso,1
transferencia,1
direitos,1
comunismo,1
derrotados,1
sofre,1
kubrusly,1
recupera,1
passou,1
quebrada,1
invasao,1
alemao,1
servico,1
tenesse,1
clinton,1
australiano,1
questionado,1
preocupados,1
vinheta,1
globais,1
linhas,1
coronariana,1
fundadora,1
candidato,1
comicio,1
estrutura,1
ferro,1
gafe,1
beltrao,1
mamar,1
aposentem,1
corpo,1
sulfeto,1
pressas,1
emergencia,1
quis,1
bastidores,1
populista,1
causando,1
educativa,1
levanta,1
investigado,1
ciumes,1
encantando,1
fofa,1
baixo,1
bbc,1
palestras,1
norman,1
pele,1
licenciados,1
aplaudir,1
escola,1
pirralho,1
carvalho,1
ticiparam,1
oftalmologista,1
roupas,1
dezesseis,1
alunos,1
obito,1
corruptos,1
descobriu,1
obstruindo,1
ilegal,1
adiante,1
dirigentes,1
contratado,1
lentes,1
clicados,1
manifestou,1
autoridades,1
santana,1
veiculo,1
causar,1
destruiram,1
jogavam,1
motor,1
mecanico,1
